source,text,title,author,url,created_utc
mastodon,Morning in the Garden with Ramen #dogsofpixelfed #dog #caramelo #iphone16 #iphone #photo #photography #nicaragua,#iphone16 post,scottalanmiller@nicagram.com,https://nicagram.com/p/scottalanmiller/1005529269306265600,2026-09-15T17:34:19
mastodon,"Le FineWoven n'est pas encore mort, mais est de moins en moins employé par Apple http:// dlvr.it/TVQQ52 # Apple # iPhone16",#iphone16 post,macgeneration@social.macg.co,https://social.macg.co/@macgeneration/117247814164716166,2026-09-10T17:01:04
mastodon,"Apple increases iPhone 16, 17, Air and 17e prices Instead of cutting prices on older iPhones, Apple has added $100 to their U.S. starting prices. https:// gadgetbond.com/apple-iphone-16 -17-air-17e-price-increase/",#iphone16 post,Shubham@gadgetbond.com,https://gadgetbond.com/apple-iphone-16-17-air-17e-price-increase/,2026-09-10T16:53:59
mastodon,Apple Raises Prices On Older iPhone Models # apple # iphone16 # iphone17 # iphone17e # iphoneair # mobilephones https://www. lowyat.net/2026/403947/apple-r aises-prices-older-iphone-models/,#iphone16 post,lowyat,https://mastodon.social/@lowyat/117245922702124687,2026-09-10T09:00:02
mastodon,"Apple Raises Prices of iPhone 16, iPhone 17, iPhone Air, and iPhone 17e https:// fed.brid.gy/r/https://www.macr umors.com/2026/09/09/apple-raises-iphone-17-prices/",#iphone16 post,macrumors.com@web.brid.gy,https://fed.brid.gy/r/https://www.macrumors.com/2026/09/09/apple-raises-iphone-17-prices/,2026-09-09T11:39:31
mastodon,"The iPhone 18 launch is here, but buyers can get the iPhone 16 at a lower price with bank and exchange offers on Flipkart and Reliance Digital. https:// english.mathrubhumi.com/techno logy/iphone-18-launch-iphone-16-price-offers-xa5soy7k?utm_source=dlvr.it&amp;utm_medium=mastodon # iPhone18 # iPhone16 # AppleIndia # iPhoneDeals # AppleLaunchEvent",#iphone16 post,Mathrubhumi_English,https://mastodon.social/@Mathrubhumi_English/117240417179876146,2026-09-09T09:39:55
mastodon,iPhone 17 (256 GB) tem queda histórica de preço na Amazon https:// fed.brid.gy/r/https://tecnoblo g.net/achados/iphone-17-256-gb-tem-queda-historica-de-preco-na-amazon/,#iphone16 post,tecnoblog.net@web.brid.gy,https://fed.brid.gy/r/https://tecnoblog.net/achados/iphone-17-256-gb-tem-queda-historica-de-preco-na-amazon/,2026-09-08T16:58:44
mastodon,"𝗛𝗲𝘁 𝗲𝗶𝗻𝗱𝗲 𝘃𝗮𝗻 𝗱𝗲 𝗶𝗣𝗵𝗼𝗻𝗲 16 (𝗣𝗹𝘂𝘀) 𝗸𝗼𝗺𝘁 𝗱𝗶𝗰𝗵𝘁𝗲𝗿𝗯𝗶𝗷 (𝗱𝗶𝘁 𝗶𝘀 𝗷𝗲 𝗹𝗮𝗮𝘁𝘀𝘁𝗲 𝗸𝗮𝗻𝘀) De iPhone 16 en iPhone 16 Plus worden langzaam uit het aanbod van Apple teruggetrokken nu het bedrijf zich richt op recentere modellen. Voor wie nog een van deze toestellen wil aanschaffen, loont het om de huidige prijzen bij providers en webshops goed te vergelijken. https://www. iculture.nl/deals/laatste-kans -iphone-16-en-16-plus/ # einde # iPhone16 # laatste kans",#iphone16 post,iculture_nl,https://mastodon.social/@iculture_nl/117236018646479001,2026-09-08T15:01:19
mastodon,"Just ""upgraded"" to iPhone from a Samsung Android and am a bit disappointed. Though physically about the same size, the iPhone is heavier, and it's squared off shape feels a bit awkward. I also miss the (virtual) backspace button, and the Apple messages keyboard has the comma and period keys on the num page, which seems really odd. The Samsung keyboard was much better. First-world problems, I know. I switched to iPhone for the AirTag compatibility as our cat has an AirTag on his collar. # iPhone16",#iphone16 post,Doppelganger75@mastodon.world,https://mastodon.world/@Doppelganger75/117220375061056590,2026-09-05T20:42:56
mastodon,iPhone 16 (256 GB) tem maior queda de preço dos últimos meses com cupom https:// fed.brid.gy/r/https://tecnoblo g.net/achados/iphone-16-256-gb-tem-maior-queda-de-preco-dos-ultimos-meses-com-cupom/,#iphone16 post,tecnoblog.net@web.brid.gy,https://fed.brid.gy/r/https://tecnoblog.net/achados/iphone-16-256-gb-tem-maior-queda-de-preco-dos-ultimos-meses-com-cupom/,2026-08-27T14:14:45
